"";"dates";"PP"
"1";1950-01-01;0
"2";1950-02-01;16,9
"3";1950-03-01;78,3
"4";1950-04-01;266,9
"5";1950-05-01;217,3
"6";1950-06-01;259,2
"7";1950-07-01;122,3
"8";1950-08-01;179,7
"9";1950-09-01;100,9
"10";1950-10-01;48
"11";1950-11-01;82,6
"12";1950-12-01;71,3
"13";1951-01-01;118,4
"14";1951-02-01;49,8
"15";1951-03-01;27,4
"16";1951-04-01;5,8
"17";1951-05-01;394,6
"18";1951-06-01;278,6
"19";1951-07-01;239,3
"20";1951-08-01;73,9
"21";1951-09-01;131,3
"22";1951-10-01;55,2
"23";1951-11-01;80,5
"24";1951-12-01;0
"25";1952-01-01;1,4
"26";1952-02-01;14
"27";1952-03-01;91
"28";1952-04-01;26,4
"29";1952-05-01;159,3
"30";1952-06-01;153,7
"31";1952-07-01;81,8
"32";1952-08-01;80,1
"33";1952-09-01;64,5
"34";1952-10-01;26,1
"35";1952-11-01;42,3
"36";1952-12-01;0
"37";1953-01-01;239,7
"38";1953-02-01;14,8
"39";1953-03-01;62
"40";1953-04-01;59
"41";1953-05-01;264
"42";1953-06-01;428
"43";1953-07-01;405,3
"44";1953-08-01;361
"45";1953-09-01;309,5
"46";1953-10-01;161
"47";1953-11-01;52,5
"48";1953-12-01;98
"49";1954-01-01;19,3
"50";1954-02-01;92
"51";1954-03-01;3
"52";1954-04-01;224
"53";1954-05-01;336
"54";1954-06-01;225,9
"55";1954-07-01;455,5
"56";1954-08-01;264
"57";1954-09-01;121
"58";1954-10-01;113
"59";1954-11-01;37
"60";1954-12-01;106
"61";1955-12-01;13
"62";1956-01-01;195,9
"63";1956-02-01;10
"64";1956-03-01;220
"65";1956-04-01;126,2
"66";1956-05-01;234,8
"67";1956-06-01;6
"68";1958-04-01;64,6
"69";1958-05-01;118,9
"70";1958-06-01;166,8
"71";1959-12-01;0
"72";1960-01-01;93,5
"73";1960-02-01;2
"74";1960-03-01;60
"75";1960-04-01;61,1
"76";1960-05-01;78
"77";1960-06-01;254
"78";1960-07-01;211,4
"79";1960-08-01;174,9
"80";1960-09-01;78,7
"81";1960-10-01;188,8
"82";1960-11-01;55,9
"83";1960-12-01;42,1
"84";1961-01-01;113,8
"85";1961-02-01;16,6
"86";1961-03-01;50,7
"87";1961-04-01;59,9
"88";1961-05-01;198,2
"89";1961-06-01;140,1
"90";1961-07-01;229,8
"91";1962-09-01;77,2
"92";1962-10-01;42,2
"93";1962-11-01;58,4
"94";1962-12-01;2
"95";1963-01-01;17,2
"96";1963-02-01;41,6
"97";1963-03-01;71,6
"98";1963-04-01;79,9
"99";1963-05-01;132,6
"100";1963-06-01;166,9
"101";1963-07-01;147,6
"102";1963-08-01;225,2
"103";1963-09-01;92,3
"104";1963-10-01;178,8
"105";1963-11-01;71,3
"106";1963-12-01;27,8
"107";1964-01-01;57,8
"108";1964-02-01;47,7
"109";1964-03-01;34
"110";1964-04-01;28,2
"111";1964-05-01;181,9
"112";1964-06-01;162,6
"113";1964-07-01;81,1
"114";1964-08-01;133,7
"115";1964-09-01;40,9
"116";1964-10-01;64,7
"117";1964-11-01;52,4
"118";1964-12-01;121
"119";1965-01-01;38,2
"120";1965-02-01;94,8
"121";1965-03-01;5,1
"122";1965-04-01;139,3
"123";1965-05-01;155
"124";1965-06-01;176,2
"125";1965-07-01;170,7
"126";1965-08-01;263,1
"127";1965-09-01;46,6
"128";1965-10-01;84,1
"129";1965-11-01;154,3
"130";1965-12-01;67,9
"131";1966-01-01;3,5
"132";1966-02-01;13,5
"133";1966-03-01;88,4
"134";1966-04-01;185,9
"135";1966-05-01;99,2
"136";1966-06-01;241,4
"137";1966-07-01;180,7
"138";1966-08-01;107,5
"139";1966-09-01;58,6
"140";1966-10-01;138,2
"141";1966-11-01;53,7
"142";1966-12-01;170,1
"143";1967-01-01;52,8
"144";1967-02-01;56,8
"145";1967-03-01;22,8
"146";1967-04-01;29,9
"147";1967-05-01;222,4
"148";1967-06-01;104,5
"149";1967-07-01;257,3
"150";1967-08-01;151,5
"151";1967-09-01;90,6
"152";1967-10-01;78,3
"153";1967-11-01;47,6
"154";1967-12-01;27,7
"155";1968-01-01;5,3
"156";1968-02-01;64,7
"157";1968-03-01;40
"158";1968-04-01;112,1
"159";1968-05-01;81,4
"160";1968-06-01;50,5
"161";1968-07-01;47,4
"162";1968-08-01;133,5
"163";1968-09-01;191,2
"164";1968-10-01;75,5
"165";1968-11-01;39,1
"166";1968-12-01;134,3
"167";1969-01-01;4,1
"168";1969-02-01;46,9
"169";1969-03-01;8,7
"170";1969-04-01;148,7
"171";1969-05-01;92,3
"172";1969-06-01;146,1
"173";1969-07-01;228,5
"174";1969-08-01;152,4
"175";1969-09-01;100,5
"176";1969-10-01;127,4
"177";1969-11-01;63,9
"178";1969-12-01;11,3
"179";1970-01-01;36,6
"180";1970-02-01;13,4
"181";1970-03-01;66,1
"182";1970-04-01;81,3
"183";1970-05-01;134,6
"184";1970-06-01;210,2
"185";1970-07-01;210,8
"186";1970-08-01;122,6
"187";1970-09-01;68,8
"188";1970-10-01;34,3
"189";1970-11-01;39,9
"190";1970-12-01;85,9
"191";1971-01-01;82,9
"192";1971-02-01;72
"193";1971-03-01;46,4
"194";1971-04-01;95,5
"195";1971-05-01;164,1
"196";1971-06-01;227,9
"197";1971-07-01;209,9
"198";1971-08-01;164,3
"199";1971-09-01;75
"200";1971-10-01;52,2
"201";1971-11-01;33,9
"202";1971-12-01;113,7
"203";1972-01-01;33,5
"204";1972-02-01;9
"205";1972-03-01;48,7
"206";1972-04-01;53,3
"207";1972-05-01;256
"208";1972-06-01;134,3
"209";1972-07-01;172,4
"210";1972-08-01;160,3
"211";1972-09-01;189,1
"212";1972-10-01;158,4
"213";1972-11-01;47,7
"214";1972-12-01;33
"215";1973-01-01;30,5
"216";1973-02-01;27,2
"217";1973-03-01;37,3
"218";1973-04-01;59,6
"219";1973-05-01;126,3
"220";1973-06-01;267,5
"221";1973-07-01;121,8
"222";1973-08-01;128,2
"223";1973-09-01;67
"224";1973-10-01;186,9
"225";1973-11-01;11,8
"226";1973-12-01;65,2
"227";1974-01-01;96,6
"228";1974-02-01;34,3
"229";1974-03-01;41,2
"230";1974-04-01;1,9
"231";1974-05-01;150,8
"232";1974-06-01;267,4
"233";1974-07-01;122,4
"234";1974-08-01;97,4
"235";1974-09-01;62,6
"236";1974-10-01;24,7
"237";1974-11-01;43,4
"238";1974-12-01;47,4
"239";1975-01-01;5,6
"240";1975-02-01;45,6
"241";1975-03-01;14,5
"242";1975-04-01;124,3
"243";1975-05-01;155,1
"244";1975-06-01;178,1
"245";1975-07-01;154
"246";1975-08-01;156,3
"247";1975-09-01;73,1
"248";1975-10-01;66,1
"249";1975-11-01;69,7
"250";1975-12-01;42,4
"251";1976-01-01;44,7
"252";1976-02-01;64,5
"253";1976-03-01;41,5
"254";1976-04-01;13,6
"255";1976-05-01;90,2
"256";1976-06-01;236,5
"257";1976-07-01;109,4
"258";1976-08-01;81,1
"259";1976-09-01;55,9
"260";1976-10-01;87,7
"261";1976-11-01;103,2
"262";1976-12-01;98,3
"263";1977-01-01;71,3
"264";1977-02-01;13,7
"265";1977-03-01;51,2
"266";1977-04-01;113,3
"267";1977-05-01;267
"268";1977-06-01;236,8
"269";1977-07-01;306,9
"270";1977-08-01;113,3
"271";1977-09-01;106,9
"272";1977-10-01;90,7
"273";1977-11-01;113,8
"274";1977-12-01;62,8
"275";1978-01-01;40,3
"276";1978-02-01;11,4
"277";1978-03-01;9,1
"278";1978-04-01;8
"279";1978-05-01;159,8
"280";1978-06-01;142
"281";1978-07-01;414,9
"282";1978-08-01;100,2
"283";1978-09-01;222,7
"284";1978-10-01;157,4
"285";1978-11-01;59,7
"286";1978-12-01;2,4
"287";1979-01-01;0
"288";1979-02-01;51,5
"289";1979-03-01;14,4
"290";1979-04-01;32,7
"291";1979-05-01;165,6
"292";1979-06-01;82,9
"293";1979-07-01;167,2
"294";1979-08-01;253,7
"295";1979-09-01;132,5
"296";1979-10-01;59,5
"297";1979-11-01;145,9
"298";1979-12-01;77,6
"299";1980-01-01;2,7
"300";1980-02-01;138,8
"301";1980-03-01;47,2
"302";1980-04-01;199,8
"303";1980-05-01;381,9
"304";1980-06-01;208,5
"305";1980-07-01;168
"306";1980-08-01;135,8
"307";1980-09-01;85,8
"308";1980-10-01;4,2
"309";1980-11-01;49,9
"310";1980-12-01;74,4
"311";1981-01-01;144,5
"312";1981-02-01;13,3
"313";1981-03-01;57,4
"314";1981-04-01;116
"315";1981-05-01;284,6
"316";1981-06-01;156,7
"317";1981-07-01;126,6
"318";1981-08-01;83,9
"319";1981-09-01;86,2
"320";1981-10-01;25,1
"321";1981-11-01;21,9
"322";1981-12-01;40,7
"323";1982-01-01;112,7
"324";1982-02-01;74,7
"325";1982-03-01;53,4
"326";1982-04-01;36,5
"327";1982-05-01;154,4
"328";1982-06-01;225,7
"329";1982-07-01;222,8
"330";1982-08-01;122,1
"331";1982-09-01;120,1
"332";1982-10-01;100
"333";1982-11-01;49,4
"334";1982-12-01;1,6
"335";1983-01-01;26,2
"336";1983-02-01;3,3
"337";1983-03-01;30,2
"338";1983-04-01;119,9
"339";1983-05-01;135
"340";1983-06-01;161,5
"341";1983-07-01;110,2
"342";1983-08-01;100,9
"343";1983-09-01;131,4
"344";1983-10-01;57
"345";1983-11-01;2,7
"346";1983-12-01;7,1
"347";1984-01-01;36,8
"348";1984-02-01;54,3
"349";1984-03-01;20,8
"350";1984-04-01;34
"351";1984-05-01;377,9
"352";1984-06-01;182,7
"353";1984-07-01;181,4
"354";1984-08-01;75,8
"355";1984-09-01;84,3
"356";1984-10-01;180,2
"357";1984-11-01;42,1
"358";1984-12-01;17,1
"359";1985-01-01;71,9
"360";1985-02-01;27,8
"361";1985-03-01;48,4
"362";1985-04-01;120,7
"363";1985-05-01;297,9
"364";1985-06-01;119,8
"365";1985-07-01;117,2
"366";1985-08-01;91,5
"367";1985-09-01;135,6
"368";1985-10-01;69,1
"369";1985-11-01;73,6
"370";1985-12-01;2,1
"371";1986-01-01;22,5
"372";1986-02-01;100,8
"373";1986-03-01;85,1
"374";1986-04-01;125,7
"375";1986-05-01;202,7
"376";1986-06-01;150,3
"377";1986-07-01;86,6
"378";1986-08-01;198,9
"379";1986-09-01;31,3
"380";1986-10-01;55,6
"381";1986-11-01;154
"382";1986-12-01;3
"383";1987-01-01;5,8
"384";1987-02-01;7,4
"385";1987-03-01;83
"386";1987-04-01;62,5
"387";1987-05-01;121,8
"388";1987-06-01;137,6
"389";1987-07-01;210,4
"390";1987-08-01;111
"391";1987-09-01;90,6
"392";1987-10-01;99,1
"393";1987-11-01;50,1
"394";1987-12-01;28,2
"395";1988-01-01;41,3
"396";1988-02-01;0
"397";1988-03-01;95,9
"398";1988-04-01;50,4
"399";1988-05-01;65,5
"400";1988-06-01;164,4
"401";1988-07-01;86,3
"402";1988-08-01;169,1
"403";1988-09-01;45
"404";1988-10-01;99,2
"405";1988-11-01;19,9
"406";1988-12-01;36,3
"407";1989-01-01;18,4
"408";1989-02-01;17,1
"409";1989-03-01;44,1
"410";1989-04-01;22,9
"411";1989-05-01;50,4
"412";1989-06-01;233,7
"413";1989-07-01;158,1
"414";1989-08-01;139,7
"415";1989-09-01;41
"416";1989-10-01;49,3
"417";1989-11-01;21,3
"418";1989-12-01;114
"419";1990-01-01;11,2
"420";1990-02-01;50,4
"421";1990-03-01;87,8
"422";1990-04-01;71
"423";1990-05-01;202,6
"424";1990-06-01;146,5
"425";1990-07-01;100,8
"426";1990-08-01;80,8
"427";1990-09-01;153,8
"428";1990-10-01;89,5
"429";1990-11-01;44,6
"430";1990-12-01;16,8
"431";1991-01-01;38,1
"432";1991-02-01;8,5
"433";1991-03-01;33,2
"434";1991-04-01;154,2
"435";1991-05-01;240
"436";1991-06-01;128,4
"437";1991-07-01;193,1
"438";1991-08-01;76,5
"439";1991-09-01;127,4
"440";1991-10-01;50
"441";1991-11-01;54,1
"442";1991-12-01;129,8
"443";1992-01-01;1,2
"444";1992-02-01;51,2
"445";1992-03-01;46,7
"446";1992-04-01;128,4
"447";1992-05-01;286,3
"448";1992-06-01;290,4
"449";1992-07-01;112,4
"450";1992-08-01;119,4
"451";1992-09-01;159,1
"452";1992-10-01;142,2
"453";1992-11-01;44,9
"454";1992-12-01;87,8
"455";1993-01-01;24,9
"456";1993-02-01;3,8
"457";1993-03-01;61,1
"458";1993-04-01;117,1
"459";1993-05-01;380,4
"460";1993-06-01;185,8
"461";1993-07-01;255,3
"462";1993-08-01;102,8
"463";1993-09-01;62,8
"464";1993-10-01;69,8
"465";1993-11-01;91,2
"466";1993-12-01;70,4
"467";1994-01-01;27,6
"468";1994-02-01;17,3
"469";1994-03-01;23,4
"470";1994-04-01;102,1
"471";1994-05-01;85
"472";1994-06-01;249
"473";1994-07-01;202,4
"474";1994-08-01;51
"475";1994-09-01;115,2
"476";1994-10-01;130,6
"477";1994-11-01;101
"478";1994-12-01;101,9
"479";1995-01-01;27,2
"480";1995-02-01;0,3
"481";1995-03-01;38,2
"482";1995-04-01;173,1
"483";1995-05-01;78,7
"484";1995-06-01;303,1
"485";1995-07-01;207,3
"486";1995-08-01;211,7
"487";1995-09-01;40,4
"488";1995-10-01;94,5
"489";1995-11-01;21,6
"490";1995-12-01;1
"491";1996-01-01;25
"492";1996-02-01;63,7
"493";1996-03-01;69,6
"494";1996-04-01;88,6
"495";1996-05-01;109,8
"496";1996-06-01;101,4
"497";1996-07-01;10,3
"498";1996-08-01;183,4
"499";1996-09-01;26,7
"500";1996-10-01;39,8
"501";1996-11-01;50,6
"502";1996-12-01;22,6
"503";1997-01-01;60,1
"504";1997-02-01;18,3
"505";1997-03-01;4,1
"506";1997-04-01;199,6
"507";1997-05-01;164,1
"508";1997-06-01;285,4
"509";1997-07-01;268,1
"510";1997-08-01;95
"511";1997-09-01;98
"512";1997-10-01;167,7
"513";1997-11-01;91,7
"514";1997-12-01;43
"515";1998-01-01;7,5
"516";1998-02-01;46
"517";1998-03-01;15,6
"518";1998-04-01;25,4
"519";1998-05-01;74,5
"520";1998-06-01;78,4
"521";1998-07-01;69,7
"522";1998-08-01;152,7
"523";1998-09-01;64,6
"524";1998-10-01;5,3
"525";1998-11-01;23,5
"526";1998-12-01;47,7
"527";1999-01-01;28,7
"528";1999-02-01;35
"529";1999-03-01;55,1
"530";1999-04-01;28,9
"531";1999-05-01;141,7
"532";1999-06-01;267
"533";1999-07-01;91,8
"534";1999-08-01;154
"535";1999-09-01;136,9
"536";1999-10-01;26,2
"537";1999-11-01;32,2
"538";1999-12-01;10,2
"539";2000-01-01;5
"540";2000-02-01;129,2
"541";2000-03-01;31,2
"542";2000-04-01;91,1
"543";2000-05-01;78,6
"544";2000-06-01;459,9
"545";2000-07-01;159,2
"546";2000-08-01;112,7
"547";2000-09-01;144,7
"548";2000-10-01;72,1
"549";2000-11-01;63
"550";2000-12-01;48,3
"551";2001-01-01;80,2
"552";2001-02-01;7,4
"553";2001-03-01;58,7
"554";2001-04-01;59,8
"555";2001-05-01;217,8
"556";2001-06-01;221,4
"557";2001-07-01;241,7
"558";2001-08-01;90,3
"559";2001-09-01;35,9
"560";2001-10-01;35,2
"561";2001-11-01;96,9
"562";2001-12-01;0,6
"563";2002-01-01;27,8
"564";2002-02-01;30
"565";2002-03-01;134,8
"566";2002-04-01;93,5
"567";2002-05-01;198,6
"568";2002-06-01;143,8
"569";2002-07-01;113,6
"570";2002-08-01;129,1
"571";2002-09-01;138,5
"572";2002-10-01;271,5
"573";2002-11-01;114,8
"574";2002-12-01;80,1
"575";2003-01-01;19,4
"576";2003-02-01;6,2
"577";2003-03-01;22,1
"578";2003-04-01;27,2
"579";2003-05-01;40,5
"580";2003-06-01;296,6
"581";2003-07-01;154,6
"582";2003-08-01;77,4
"583";2003-09-01;114,5
"584";2003-10-01;77,8
"585";2003-11-01;81,8
"586";2003-12-01;57,4
"587";2004-01-01;8,3
"588";2004-02-01;34,4
"589";2004-03-01;48,9
"590";2004-04-01;170,8
"591";2004-05-01;18,9
"592";2004-06-01;249,6
"593";2004-07-01;185,8
"594";2004-08-01;102,6
"595";2004-09-01;91,8
"596";2004-10-01;196,2
"597";2004-11-01;90,4
"598";2004-12-01;36,4
"599";2005-01-01;33
"600";2005-02-01;2
"601";2005-03-01;60,6
"602";2005-04-01;45,4
"603";2005-05-01;344,5
"604";2005-06-01;275,5
"605";2005-07-01;125,2
"606";2005-08-01;192,9
"607";2005-09-01;91,3
"608";2005-10-01;62,1
"609";2005-11-01;162
"610";2005-12-01;63,6
"611";2006-01-01;85,8
"612";2006-02-01;44,2
"613";2006-03-01;59,2
"614";2006-04-01;153,6
"615";2006-05-01;107,4
"616";2006-06-01;311,1
"617";2006-07-01;215,6
"618";2006-08-01;128
"619";2006-09-01;128,8
"620";2006-10-01;86,4
"621";2006-11-01;19,7
"622";2006-12-01;77,9
"623";2007-01-01;12,8
"624";2007-02-01;56
"625";2007-03-01;17,2
"626";2007-04-01;115,7
"627";2007-05-01;79,2
"628";2007-06-01;197,4
"629";2007-07-01;180
"630";2007-08-01;131,4
"631";2007-09-01;63,6
"632";2007-10-01;63,9
"633";2007-11-01;23,6
"634";2007-12-01;48
"635";2008-01-01;10,6
"636";2008-02-01;14,7
"637";2008-03-01;32,7
"638";2008-04-01;60,9
"639";2008-05-01;208,6
"640";2008-06-01;118,6
"641";2008-07-01;167,5
"642";2008-08-01;294,1
"643";2008-09-01;41,2
"644";2008-10-01;35,6
"645";2008-11-01;53,8
"646";2008-12-01;12,1
"647";2009-01-01;12,6
"648";2009-02-01;49,4
"649";2009-03-01;14
"650";2009-04-01;59,2
"651";2009-05-01;224,6
"652";2009-06-01;154,5
"653";2009-07-01;80,2
"654";2009-08-01;248,9
"655";2009-09-01;90,2
"656";2009-10-01;131,4
"657";2009-11-01;92,7
"658";2009-12-01;61,8
"659";2010-01-01;35,4
"660";2010-02-01;70
"661";2010-03-01;50
"662";2010-04-01;14,6
"663";2010-05-01;42,2
"664";2010-06-01;170,6
"665";2010-07-01;169,1
"666";2010-08-01;125,8
"667";2010-09-01;27,6
"668";2010-10-01;50,3
"669";2010-11-01;46,4
"670";2010-12-01;58,6
"671";2011-01-01;61,2
"672";2011-02-01;40,4
"673";2011-03-01;69,4
"674";2011-04-01;114,8
"675";2011-05-01;121,6
"676";2011-06-01;157,4
"677";2011-07-01;115,1
"678";2011-08-01;166,6
"679";2011-09-01;121,2
"680";2011-10-01;43
"681";2011-11-01;45,2
"682";2011-12-01;9,8
"683";2012-01-01;18,6
"684";2012-02-01;81,2
"685";2012-03-01;27,7
"686";2012-04-01;34,6
"687";2012-05-01;127,4
"688";2012-06-01;225,8
"689";2012-07-01;100,2
"690";2012-08-01;85,8
"691";2012-09-01;57,4
"692";2012-10-01;43,4
"693";2012-11-01;43,9
"694";2012-12-01;109
"695";2013-01-01;12,2
"696";2013-02-01;52,6
"697";2013-03-01;20,4
"698";2013-04-01;41,8
"699";2013-05-01;135,4
"700";2013-06-01;95,7
"701";2013-07-01;101,4
"702";2013-08-01;143,7
"703";2013-09-01;72,2
"704";2013-10-01;42,4
"705";2013-11-01;50,2
"706";2013-12-01;10,2
"707";2014-01-01;83,5
"708";2014-02-01;18,4
"709";2014-03-01;74
"710";2014-04-01;61
"711";2014-05-01;159,2
"712";2014-06-01;196,4
"713";2014-07-01;145,4
"714";2014-11-01;2,9
"715";2014-12-01;25
"716";2015-01-01;0
"717";2015-02-01;0,3
"718";2015-03-01;3,3
"719";2015-04-01;45
"720";2015-05-01;238
"721";2015-06-01;205,9
"722";2015-07-01;227,8
"723";2015-08-01;179,3
"724";2015-09-01;127,9
"725";2015-10-01;60,2
"726";2015-11-01;28,2
"727";2015-12-01;52,1
"728";2016-01-01;12
"729";2016-02-01;7,2
"730";2016-03-01;29,9
"731";2016-04-01;60,2
"732";2016-05-01;79,2
"733";2016-06-01;29,6
"734";2016-07-01;232,9
"735";2016-08-01;128,2
"736";2016-09-01;29,9
"737";2016-10-01;87,4
"738";2016-11-01;36
"739";2016-12-01;83,3
"740";2017-01-01;25,7
"741";2017-02-01;74,2
"742";2017-03-01;58
"743";2017-04-01;82,8
"744";2017-05-01;121,8
"745";2017-06-01;259,1
"746";2017-07-01;82,3
"747";2017-08-01;228,3
"748";2017-09-01;65,6
"749";2017-10-01;106
"750";2017-11-01;31
"751";2017-12-01;33,2
"752";2018-01-01;24,9
"753";2018-02-01;11,4
"754";2018-03-01;113,1
"755";2018-04-01;145,3
"756";2018-05-01;122,1
"757";2018-06-01;14,9
